"id","label","tweet"
"tw:797944958212800512","0","At least 100 #Rohingya civilians are dead and many are injured in two days of continuous launcher attacks by #Myanmar #Military."
"tw:797945065825923072","0","RT @nslwin: At least 100 #Rohingya civilians are dead and many are injured in two days of continuous launcher attacks by #Myanmar #Military."
"tw:797945081017663488","0","RT @FrediTeres: Horrible #FUKUSHIMA:
JAP Govt aims to repopulate radioactive fall-out deserted territory, while cuts aid for unretu… "
"tw:797945109392199680","0","RT @nslwin: Clearance Operation Of #Myanmar #Military Left At Least 80 #Rohingya Civilians Dead https://t.co/mKG45AtyVy"
"tw:797945819257131008","0","RT @TheMurdochTimes: The Turnbull Coalition 'refugee deal' with the US is dead. Forget it. It's not going to happen under Trump. Don't even…"
"tw:797945977952833537","0","RT @Kon__K: I've no faith in the #refugee review process on #Nauru &amp; #Manus, it's life &amp; death for people. #Turnbull has a duty to settle a…"
"tw:797946033741250561","0","RT @Jarrapin: Donald Trump backer says Aust-US refugee swap deal is 'dead on arrival' . Turnmbull dithering to blame?  https://t.co/z8CAz5T…"
"tw:797946228038213632","0","Donald Trump backer says Australia-US refugee swap deal is 'dead on arrival' https://t.co/gS6YATo0ad"
"tw:797946250410606594","0","RT @9NewsLA: US anti-immigration think tank warns refugee resettlement deal won't last under @realDonaldTrump.
https://t.co/0hqSKATSYC #9Ne…"
"tw:797948969816985605","0","Refugee deal 'dead on arrival', says US expert 
I don't expect any Republicans will defend it;  excerpt https://t.co/pF5tEDz2GS"
"tw:797949191259492352","0","Clearance Operation Of Myanmar Military Left At Least 80 Rohingya Civilians Dead https://t.co/3NXYvNtfbY https://t.co/my8olvXdHu"
"tw:797949197882257408","0","RT @lynlinking: Donald Trump backer says Australia-US refugee swap deal is 'dead on arrival' https://t.co/HpetriCju4 via @smh"
"tw:797949329776349184","0","RT @rightsagenda: Media release: Refugee resettlement deal: Govt finally concedes Manus Island and Nauru are dead ends https://t.co/jfJnATd…"
"tw:797950242087804928","0","RT @lynlinking: Refugee deal 'dead on arrival', says US expert 
I don't expect any Republicans will defend it;  excerpt https://t.co/pF5tED…"
"tw:797950456324423680","0","@realDonaldTrump @TurnbullMalcolm Yeah, why swap one group for another. Why don't we just keep our refugees &amp; Ameri… https://t.co/hQWIrUekpy"
"tw:797950919337857024","0","https://t.co/5PH8zwKSX6 https://t.co/Ii6BvtjFzM"
"tw:797951138779672576","0","RT @joew49: @TurnbullMalcolm LIAR LIAR pants on fire! Trump backer: Australia-US refugee swap deal is 'dead on arrival' https://t.co/L3YuNo…"
"tw:797951678230065152","0","RT @Sthumoe: Many #Rohingya were shot dead by #Myanmar Army &amp; BGP on Nov 12.This footage is from #YayKhaeChaungKhwaSone VT.… "
"tw:797952207991603200","0","Trump backer says refugee swap deal is 'dead on arrival'
TBH want this to work 4 #asylumseeker sake
Don't #Fizza it
https://t.co/7m7u06BDtP"
"tw:797952573273612288","0","RT @KezzerOz: Australia-US refugee swap deal is 'dead on arrival' 
What to do now @TurnbullMalcolm @PeterDutton_MP v @smh  https://t.co/ghO…"
"tw:797952741809106948","0","RT @matthewfsmith: Horrific video footage &amp; allegations emerging from Maungdaw. Dead #Rohingya civilian men, women, children, many w/ gunsh…"
"tw:797952959933870080","0","RT @Jim_Pembroke: Trump backer says refugee swap deal is 'dead on arrival'
TBH want this to work 4 #asylumseeker sake
Don't #Fizza it
https…"
"tw:797953613238677504","0","https://t.co/9k1tqsiz3c Donald Trump backer says Australia-US refugee swap deal is 'dead on arrival' - The Sydn... https://t.co/yyEU5S5xr8"
"tw:797953698995441664","0","Donald Trump backer says Australia-US refugee swap deal is 'dead on arrival'. Looks like Dutton and Morrison will have to continue suffering"
"tw:797953891635642368","1","RT @Heavenbounding: #serenashim Iranian broadcaster raises suspicions about death of reporter on #Syrian border https://t.co/09M10QThUF"
"tw:797954233173569537","0","RT @nslwin: On Nov 12, Many #Rohingya were shot dead by #Myanmar Army &amp; BGP. This footage is from #YayKhaeChaungKhwaSone VT. https://t.co/A…"
"tw:797954619091525632","0","RT @MyFirstCousin: Donald Trump backer says Australia-US refugee swap deal is 'dead on arrival'. Looks like Dutton and Morrison will have t…"
"tw:797955146122543104","0","RT @AkhFindMyMiswaq: WARNING sensitive content 🔞⚠️ On Nov 12, Many #Rohingya muslims were shot dead by #Myanmar Army. footage is from… "
"tw:797955261121982465","0","Top story: Donald Trump backer says Australia-US refugee swap deal is 'dead on … https://t.co/CsW4DVzZ3O, see more https://t.co/QvQPI6ODT7"
"tw:797955270437584896","0","RT @WangCecillia: @teddivest Do you realize that Border Patrol has shot to death Mexican children across the border? And US says Constituti…"
"tw:797955287424434181","0","Donald Trump backer says Australia-US refugee swap deal is 'dead on arrival'   #auspol https://t.co/9YWnsZN2yQ via @smh"
